Make,Model,Production Year,Date of Sale,Sold Price,Gearbox,Description,Auction House,Country of Sale,Spyder,LHD_RHD,URL
Fiat,124 Sport Spider,1970,6 Aug 2025,"£10,000 - £12,000",Manual,"This Fiat 124 Sport Spider, converted to RHD, boasts a rare factory hardtop and recent refurbishment. While it needs some minor work, it presents a stylish opportunity for summer cruising, previously owned by a renowned Italian car collector.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-fiat-124-sport-spider-055b9c
Rover,P5B Coupe,1973,6 Aug 2025,"£20,000 - £25,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-rover-p5b-50de2a
Jaguar,XK Auto,2007,6 Aug 2025,"£7,000 - £8,000",Automatic,"This 2007 Jaguar XK Convertible grand tourer boasts a 4.2L V8 engine with 300BHP, 6-speed automatic gearbox and a long MOT until April 2026. Showing five former keepers, six service stamps and 11 invoices, some reconditioning may be required.",Brightwells,United Kingdom,Yes,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jaguar-xk-1be0d2
Mini,Racing Car,1971,6 Aug 2025,"£7,000 - £9,000",Manual,"This road-legal 1971 Mini, originally an Austin Mini 1000, has been transformed into a track day and hill climb car with a 1,390cc race engine producing 122bhp, adjustable suspension, and Lamborghini yellow paintwork. It's been used in two competitive events and is offered at a price lower than its build cost.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mini-other-c6689e
Mercedes-Benz,300TD Estate (W124),1992,6 Aug 2025,"£3,000 - £4,000",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mercedes-benz-w124-300-td-eadd51
Vauxhall,Nova Star 3 Door Hatchback,1989,6 Aug 2025,£250 - £500,Manual,"This is a three-door hatchback project car with GTE seats and V5C. The engine is not running, making it suitable for restoration or parts.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-vauxhall-nova-31d736
Leyland,Cub KG2 Tanker,1932,6 Aug 2025,"£10,000 - £15,000",Manual,"This 1932 Leyland Cub KG2 tanker, owned for over 40 years, has been fully restored and is presented in the livery of the family fuel business. Displayed at the family yard in Tenbury and with a recorded straight-six 3,000cc engine, this rare survivor is a unique opportunity for commercial vehicle enthusiasts.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-leyland-other-3cdd6b
Alvis,TF21 Automatic,1966,6 Aug 2025,"£20,000 - £25,000",Automatic,"This 1966 Alvis TF21 Automatic, one of 80 saloons made, features a 3.0 straight-six engine and has had five owners. While mechanically sound with recent work, it presents 'shabby chic' bodywork and patina, with an MOT until July 2026.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-alvis-tf21-fb85d8
Ford,Capri MkII 3.0 Ghia,1977,6 Aug 2025,"£9,500 - £11,500",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-ford-capri-mk-ii-3-0-ghia-4babe9
Chrysler,Crossfire,2006,6 Aug 2025,"£2,250 - £2,750",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-chrysler-crossfire-34630d
Ford,Escort MkIV 1.8D Estate,1989,6 Aug 2025,"£2,000 - £3,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-ford-escort-1-8-e5a005
BMW,Isetta 300,1957,6 Aug 2025,"£17,000 - £18,000",Manual,"This 1957 BMW Isetta Bubble car, originally from Germany and exported to South Africa, was imported to the UK in 2021 and fully restored. With only 12 of this variant believed to exist, and a recent engine rebuild, it's a rare opportunity to own an iconic microcar.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-bmw-isetta-300-6df9aa
Triumph,TR7 Convertible,1980,6 Aug 2025,"£1,400 - £2,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-triumph-tr7-convertible-3377ca
Lea-Francis,P-Type Tourer,1933,6 Aug 2025,"£6,000 - £8,000",Manual,Later BMC B-Series engine and gearbox fitted; pre-war looks with post-war performance; lots to like; further details to follow,Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-lea-francis-p-type-a0a2a2
Range,Rover Two Door Classic,1978,6 Aug 2025,"£15,000 - £17,000",Manual,"This 1978 Range Rover is a classic British motoring icon with a 3.5L Rover V8 engine and manual gearbox. Recently serviced, it's now MOT and Tax exempt due to its historic vehicle status, making it a rare find on today's roads.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-land-rover-range-rover-classic-09339f
Mercedes,Benz 190E 2.6,1988,6 Aug 2025,"£6,500 - £7,500",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mercedes-benz-w201-190-e-2-6-96c230
Squire,Two-Seater Roadster,1989,6 Aug 2025,"£13,000 - £15,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-squire-other-539375
Volkswagen,Golf R32,2003,6 Aug 2025,"£10,000 - £12,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-volkswagen-golf-r32-f99ab0
Triumph,TR6,1970,6 Aug 2025,"£10,000 - £12,000",Manual,"Starting and driving; Hardtop included; only 6 owners; two within the same family in the past 55 yearsThe Triumph TR6 is a classic sports car produced by the Triumph Motor Company from 1969 to 1976.It's known for its powerful engine, muscular styling, and engaging driving experience. The TR6 is a popular choice for classic car enthusiasts and collectors due to its availability of parts and relatively straightforward maintenance.First registered in July 1970, only having 6 owners in total, two of which were in the same family.There are a few of the previous MOTs that come with the car confirming what we think to be the correct mileage of 68,650, although this cannot be confirmed.Although there is not a lot of history with this car, it looks well maintained and apart from a little bit of rust in places, it looks to be in nice original order, benefiting from a set of Wolfrace polished period alloy wheels too.The car was in storage for a period of time but recently had a quick charge o...",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-triumph-tr6-d3efd3
TVR,V8 S,1992,6 Aug 2025,"£10,000 - £12,000",Manual,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-tvr-v8s-3e7515
Austin-Healey,Frogeye Sprite Mk1,1959,6 Aug 2025,"£10,000 - £12,000",Manual,"This 1959 Frogeye has an older restoration and a later 1,275cc engine, offering improved performance. While it lacks detailed history, it presents well and is ready to enjoy, though some wear is visible.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-austin-healey-sprite-mk-i-84f716
MGB,Roadster,1967,6 Aug 2025,"£8,750 - £9,750",Manual,"This 1967 MGB Roadster, reshelled in 1990, is presented in British racing green with chrome bumpers and wire wheels. It has been with the current owner since 1997 and has a valid MOT until December 2025.",Brightwells,United Kingdom,Yes,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mg-b-roadster-b13f1d
,,TBC,6 Aug 2025,,Manual,"This 1977 MGB Roadster is described as a 'use and improve' example, with a recent leather interior and fabric roof. It features a 1,798cc engine with overdrive and has undergone restoration work in the past, presenting an opportunity for further improvements.",Brightwells,United Kingdom,Yes,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-mg-b-roadster-85ac5f
Alvis,TA21 Tickford DHC,1952,6 Aug 2025,"£23,500 - £25,500",Automatic,If this vehicle sells at the mid-point of its estimate it will set a new world record for the [enter model],Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-alvis-ta21-19ea45
Jaguar,XJS 3.6 Coupe,1989,6 Aug 2025,"£11,000 - £13,000",Automatic,"This Jaguar XJS 3.6 is a low-mileage example with full service history, recent maintenance, and a new alarm system. The car is described as being in good condition with desirable options and included spares.",Brightwells,United Kingdom,No,LHD,https://www.theclassicvaluer.com/vehicle-details/brightwells-2025-08-06-jaguar-xjs-coupe-dc3c3a
